distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
447,17,35,6.25,False
443,17,35,6.25,False
438,17,35,6.25,False
434,17,35,6.25,False
429,17,35,6.25,False
425,17,35,6.25,False
420,17,35,6.26,False
416,17,35,6.26,False
412,17,35,6.26,False
408,17,35,6.26,False
403,17,35,6.26,False
399,17,35,6.26,False
393,17,35,6.26,False
390,17,35,6.26,False
384,17,35,6.26,False
380,17,35,6.26,False
376,17,35,6.27,False
372,17,35,6.27,False
367,17,35,6.27,False
363,17,35,6.27,False
359,17,35,6.27,False
355,17,35,6.27,False
351,17,35,6.27,False
346,17,35,6.27,False
341,17,35,6.27,False
337,17,35,6.27,False
333,17,35,6.28,False
328,17,35,6.28,False
324,17,35,6.28,False
319,17,35,6.28,False
314,17,35,6.28,False
310,17,35,6.28,False
304,17,35,6.28,False
300,17,35,6.28,False
295,17,35,6.28,False
291,17,35,6.28,False
286,17,35,6.29,False
282,17,35,6.29,False
277,17,35,6.29,False
273,17,35,6.29,False
269,17,35,6.29,False
263,17,35,6.29,False
259,17,35,6.29,False
254,17,35,6.29,False
250,17,35,6.29,False
245,17,35,6.29,False
241,17,35,6.3,False
236,17,35,6.3,False
231,17,35,6.3,False
227,17,35,6.3,False
223,17,35,6.3,False
219,17,35,6.3,False
214,17,35,6.3,False
210,17,35,6.3,False
205,17,35,6.3,False
200,17,35,6.3,False
195,17,35,6.31,False
191,17,35,6.31,False
187,17,35,6.31,False
182,17,35,6.31,False
178,17,35,6.31,False
173,17,35,6.31,False
169,17,35,6.31,False
164,17,35,6.31,False
160,17,35,6.31,False
155,17,35,6.31,False
151,17,35,6.32,False
146,17,35,6.32,False
142,17,35,6.32,False
137,17,35,6.32,False
132,17,35,6.32,False
127,17,35,6.32,False
123,17,35,6.32,False
118,17,35,6.32,False
114,17,35,6.32,False
109,17,35,6.32,False
105,17,35,6.33,False
105,17,35,6.33,True
457,25,50,6.37,False
453,25,50,6.37,False
448,25,50,6.37,False
443,25,50,6.37,False
439,25,50,6.37,False
434,25,50,6.37,False
430,25,50,6.37,False
425,25,50,6.37,False
420,25,50,6.37,False
415,25,50,6.37,False
411,25,50,6.38,False
405,25,50,6.38,False
401,25,50,6.38,False
396,25,50,6.38,False
391,25,50,6.38,False
387,25,50,6.38,False
381,25,50,6.38,False
377,25,50,6.38,False
371,25,50,6.38,False
367,25,50,6.38,False
362,25,50,6.39,False
357,25,50,6.39,False
353,25,50,6.39,False
349,25,50,6.39,False
344,25,50,6.39,False
339,25,50,6.39,False
335,25,50,6.39,False
330,25,50,6.39,False
325,25,50,6.39,False
321,25,50,6.39,False
317,25,50,6.4,False
312,25,50,6.4,False
308,25,50,6.4,False
302,25,50,6.4,False
299,25,50,6.4,False
293,25,50,6.4,False
289,25,50,6.4,False
284,25,50,6.4,False
279,25,50,6.4,False
275,25,50,6.4,False
270,25,50,6.41,False
265,25,50,6.41,False
261,25,50,6.41,False
256,25,50,6.41,False
252,25,50,6.41,False
246,25,50,6.41,False
242,25,50,6.41,False
237,25,50,6.41,False
232,25,50,6.41,False
228,25,50,6.41,False
223,25,50,6.42,False
219,25,50,6.42,False
214,25,50,6.42,False
210,25,50,6.42,False
205,25,50,6.42,False
200,25,50,6.42,False
195,25,50,6.42,False
191,25,50,6.42,False
186,25,50,6.42,False
181,25,50,6.42,False
177,25,50,6.43,False
172,25,50,6.43,False
168,25,50,6.43,False
164,25,50,6.43,False
159,25,50,6.43,False
154,25,50,6.43,False
150,25,50,6.43,False
146,25,50,6.43,False
141,25,50,6.43,False
136,25,50,6.43,False
132,25,50,6.44,False
128,25,50,6.44,False
123,25,50,6.44,False
119,25,50,6.44,False
114,25,50,6.44,False
109,25,50,6.44,False
105,25,50,6.44,False
100,25,50,6.44,False
100,25,50,6.44,True
562,17,35,6.49,False
558,17,35,6.49,False
553,17,35,6.49,False
549,17,35,6.49,False
544,17,35,6.49,False
540,17,35,6.49,False
535,17,35,6.49,False
531,17,35,6.49,False
526,17,35,6.49,False
521,17,35,6.49,False
516,17,35,6.5,False
512,17,35,6.5,False
508,17,35,6.5,False
503,17,35,6.5,False
498,17,35,6.5,False
492,17,35,6.5,False
487,17,35,6.5,False
483,17,35,6.5,False
478,17,35,6.5,False
473,17,35,6.5,False
469,17,35,6.51,False
464,17,35,6.51,False
460,17,35,6.51,False
454,17,35,6.51,False
450,17,35,6.51,False
445,17,35,6.51,False
440,17,35,6.51,False
435,17,35,6.51,False
430,17,35,6.51,False
426,17,35,6.51,False
420,17,35,6.52,False
416,17,35,6.52,False
411,17,35,6.52,False
407,17,35,6.52,False
402,17,35,6.52,False
396,17,35,6.52,False
392,17,35,6.52,False
388,17,35,6.52,False
382,17,35,6.52,False
378,17,35,6.52,False
373,17,35,6.53,False
368,17,35,6.53,False
363,17,35,6.53,False
359,17,35,6.53,False
354,17,35,6.53,False
349,17,35,6.53,False
344,17,35,6.53,False
339,17,35,6.53,False
335,17,35,6.53,False
329,17,35,6.53,False
325,17,35,6.54,False
320,17,35,6.54,False
316,17,35,6.54,False
311,17,35,6.54,False
306,17,35,6.54,False
301,17,35,6.54,False
296,17,35,6.54,False
292,17,35,6.54,False
287,17,35,6.54,False
283,17,35,6.54,False
278,17,35,6.55,False
272,17,35,6.55,False
267,17,35,6.55,False
262,17,35,6.55,False
258,17,35,6.55,False
253,17,35,6.55,False
248,17,35,6.55,False
244,17,35,6.55,False
239,17,35,6.55,False
234,17,35,6.55,False
230,17,35,6.56,False
225,17,35,6.56,False
220,17,35,6.56,False
214,17,35,6.56,False
210,17,35,6.56,False
205,17,35,6.56,False
200,17,35,6.56,False
196,17,35,6.56,False
190,17,35,6.56,False
186,17,35,6.56,False
181,17,35,6.57,False
177,17,35,6.57,False
173,17,35,6.57,False
169,17,35,6.57,False
163,17,35,6.57,False
159,17,35,6.57,False
154,17,35,6.57,False
150,17,35,6.57,False
144,17,35,6.57,False
140,17,35,6.57,False
135,17,35,6.58,False
130,17,35,6.58,False
126,17,35,6.58,False
120,17,35,6.58,False
116,17,35,6.58,False
116,17,35,6.58,True
482,25,50,6.62,False
476,25,50,6.62,False
472,25,50,6.62,False
