distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action,prediction
368,17,35,6.370000000000124,,Do_Nothing
362,17,35,6.371000000000124,,Do_Nothing
357,17,35,6.372000000000124,,Do_Nothing
351,17,35,6.373000000000125,,Do_Nothing
345,17,35,6.374000000000125,,Do_Nothing
338,17,35,6.375000000000125,,Do_Nothing
333,17,35,6.376000000000126,,Do_Nothing
328,17,35,6.377000000000126,,Do_Nothing
321,17,35,6.378000000000126,,Do_Nothing
315,17,35,6.379000000000127,,Do_Nothing
310,17,35,6.380000000000127,,Do_Nothing
304,17,35,6.381000000000127,,Do_Nothing
299,17,35,6.382000000000128,,Do_Nothing
292,17,35,6.383000000000128,,Do_Nothing
287,17,35,6.384000000000128,,Do_Nothing
281,17,35,6.385000000000129,,Do_Nothing
275,17,35,6.386000000000129,,Do_Nothing
270,17,35,6.387000000000129,,Do_Nothing
263,17,35,6.38800000000013,,Do_Nothing
258,17,35,6.38900000000013,,Do_Nothing
252,17,35,6.39000000000013,,Do_Nothing
247,17,35,6.391000000000131,,Do_Nothing
241,17,35,6.392000000000131,,Do_Nothing
235,17,35,6.393000000000131,,Do_Nothing
228,17,35,6.394000000000132,,Do_Nothing
222,17,35,6.395000000000132,,Do_Nothing
217,17,35,6.396000000000132,,Do_Nothing
210,17,35,6.397000000000133,,Do_Nothing
205,17,35,6.398000000000133,,Do_Nothing
198,17,35,6.399000000000133,,Do_Nothing
193,17,35,6.400000000000134,,Do_Nothing
186,17,35,6.401000000000134,,Do_Nothing
181,17,35,6.402000000000134,,Do_Nothing
174,17,35,6.403000000000135,,Do_Nothing
170,17,35,6.404000000000135,,Do_Nothing
163,17,35,6.405000000000135,,Do_Nothing
158,17,35,6.406000000000136,,Do_Nothing
151,17,35,6.407000000000136,,Do_Nothing
145,17,35,6.408000000000136,,Do_Nothing
139,17,35,6.409000000000137,,Do_Nothing
133,17,35,6.410000000000137,,Do_Nothing
127,17,35,6.411000000000137,,Do_Nothing
122,17,35,6.412000000000138,,Do_Nothing
116,17,35,6.413000000000138,,Do_Nothing
110,17,35,6.414000000000138,,Do_Nothing
104,17,35,6.415000000000139,,Do_Nothing
97,17,35,6.416000000000139,,Do_Nothing
91,17,35,6.417000000000139,,Do_Nothing
85,17,35,6.41800000000014,,Do_Nothing
79,17,35,6.41900000000014,,Do_Nothing
73,17,35,6.42000000000014,,Do_Nothing
67,17,35,6.421000000000141,,Do_Nothing
61,17,35,6.422000000000141,,Do_Nothing
56,17,35,6.423000000000141,,Do_Nothing
50,17,35,6.424000000000142,,Do_Nothing
45,17,35,6.425000000000142,,Do_Nothing
38,17,35,6.426000000000142,,Do_Nothing
32,17,35,6.427000000000143,,Do_Nothing
26,17,35,6.428000000000143,,Do_Nothing
20,17,35,6.429000000000143,,Do_Nothing
14,17,35,6.430000000000144,,Do_Nothing
8,17,35,6.431000000000144,,Do_Nothing
2,17,35,6.432000000000144,,Do_Nothing
-4,17,35,6.433000000000145,,Jump
-10,17,35,6.434000000000145,,Jump
-16,17,35,6.435000000000145,,Jump
-22,17,35,6.436000000000146,,Jump
-28,17,35,6.437000000000146,,Jump
-34,17,35,6.438000000000146,,Jump
208,17,35,6.439000000000147,,Do_Nothing
201,17,35,6.440000000000147,,Do_Nothing
195,17,35,6.441000000000147,,Do_Nothing
190,17,35,6.442000000000148,,Do_Nothing
184,17,35,6.443000000000148,,Do_Nothing
178,17,35,6.444000000000148,,Do_Nothing
172,17,35,6.445000000000149,,Do_Nothing
165,17,35,6.446000000000149,,Do_Nothing
160,17,35,6.447000000000149,,Do_Nothing
154,17,35,6.44800000000015,,Do_Nothing
148,17,35,6.44900000000015,,Do_Nothing
142,17,35,6.45000000000015,,Do_Nothing
136,17,35,6.451000000000151,,Do_Nothing
130,17,35,6.452000000000151,,Do_Nothing
124,17,35,6.453000000000151,,Do_Nothing
118,17,35,6.454000000000152,,Do_Nothing
112,17,35,6.455000000000152,,Do_Nothing
106,17,35,6.456000000000152,,Do_Nothing
100,17,35,6.457000000000153,,Do_Nothing
94,17,35,6.458000000000153,,Do_Nothing
88,17,35,6.459000000000153,,Do_Nothing
82,17,35,6.460000000000154,,Do_Nothing
76,17,35,6.461000000000154,,Do_Nothing
70,17,35,6.462000000000154,,Do_Nothing
65,17,35,6.463000000000155,,Do_Nothing
59,17,35,6.464000000000155,,Do_Nothing
52,17,35,6.465000000000155,,Do_Nothing
46,17,35,6.466000000000156,,Do_Nothing
40,17,35,6.467000000000156,,Do_Nothing
35,17,35,6.468000000000156,,Do_Nothing
29,17,35,6.469000000000157,,Do_Nothing
23,17,35,6.470000000000157,,Do_Nothing
18,17,35,6.471000000000157,,Do_Nothing
12,17,35,6.472000000000158,,Do_Nothing
5,17,35,6.473000000000158,,Do_Nothing
0,17,35,6.474000000000158,,Do_Nothing
-7,17,35,6.475000000000159,,Jump
-12,17,35,6.476000000000159,,Jump
-19,17,35,6.477000000000159,,Jump
-25,17,35,6.47800000000016,,Jump
-31,17,35,6.47900000000016,,Jump
-37,17,35,6.48000000000016,,Jump
145,17,35,6.481000000000161,,Do_Nothing
138,17,35,6.482000000000161,,Do_Nothing
132,17,35,6.483000000000161,,Do_Nothing
126,17,35,6.484000000000162,,Do_Nothing
120,17,35,6.485000000000162,,Do_Nothing
114,17,35,6.486000000000162,,Do_Nothing
108,17,35,6.487000000000163,,Do_Nothing
102,17,35,6.488000000000163,,Do_Nothing
96,17,35,6.489000000000163,,Do_Nothing
90,17,35,6.490000000000164,,Do_Nothing
85,17,35,6.491000000000164,,Do_Nothing
79,17,35,6.492000000000164,,Do_Nothing
73,17,35,6.493000000000165,,Do_Nothing
66,17,35,6.494000000000165,,Do_Nothing
61,17,35,6.495000000000165,,Do_Nothing
54,17,35,6.496000000000166,,Do_Nothing
48,17,35,6.497000000000166,,Do_Nothing
43,17,35,6.498000000000166,,Do_Nothing
