,distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
63,188,25,50,6.2980000000000995,False
64,182,25,50,6.2990000000001,False
65,176,25,50,6.3000000000001,False
66,171,25,50,6.3010000000001005,False
67,165,25,50,6.302000000000101,False
68,159,25,50,6.303000000000101,False
69,153,25,50,6.3040000000001015,False
70,148,25,50,6.305000000000102,False
71,143,25,50,6.306000000000102,False
72,136,25,50,6.3070000000001025,False
73,131,25,50,6.308000000000103,False
74,125,25,50,6.309000000000103,False
75,120,25,50,6.3100000000001035,False
76,113,25,50,6.311000000000104,False
77,108,25,50,6.312000000000104,False
78,102,25,50,6.3130000000001045,True
79,96,25,50,6.314000000000105,True
80,90,25,50,6.315000000000105,True
81,84,25,50,6.3160000000001055,True
82,78,25,50,6.317000000000106,True
83,73,25,50,6.318000000000106,True
84,68,25,50,6.3190000000001065,True
85,61,25,50,6.320000000000107,True
86,55,25,50,6.321000000000107,True
87,50,25,50,6.3220000000001075,True
88,44,25,50,6.323000000000108,True
89,38,25,50,6.324000000000108,True
90,33,25,50,6.3250000000001085,True
91,27,25,50,6.326000000000109,True
92,21,25,50,6.327000000000109,True
93,15,25,50,6.3280000000001095,True
94,9,25,50,6.32900000000011,True
95,4,25,50,6.33000000000011,True
96,-1,25,50,6.3310000000001105,True
97,-8,25,50,6.332000000000111,True
98,-14,25,50,6.333000000000111,True
99,-20,25,50,6.3340000000001115,True
100,-26,25,50,6.335000000000112,True
101,-32,25,50,6.336000000000112,True
102,-37,25,50,6.3370000000001125,True
103,-43,25,50,6.338000000000113,True
104,504,25,50,6.339000000000113,True
105,499,25,50,6.3400000000001135,True
106,493,25,50,6.341000000000114,True
107,487,25,50,6.342000000000114,True
108,481,25,50,6.3430000000001145,True
109,476,25,50,6.344000000000115,True
110,470,25,50,6.345000000000115,True
111,464,25,50,6.3460000000001155,False
112,457,25,50,6.347000000000116,False
113,452,25,50,6.348000000000116,False
114,447,25,50,6.3490000000001166,False
115,440,25,50,6.350000000000117,False
116,434,25,50,6.351000000000117,False
117,428,25,50,6.3520000000001176,False
118,423,25,50,6.353000000000118,False
119,417,25,50,6.354000000000118,False
120,412,25,50,6.3550000000001186,False
121,406,25,50,6.356000000000119,False
122,399,25,50,6.357000000000119,False
123,394,25,50,6.35800000000012,False
124,387,25,50,6.35900000000012,False
125,382,25,50,6.36000000000012,False
126,376,25,50,6.361000000000121,False
127,370,25,50,6.362000000000121,False
128,363,25,50,6.363000000000121,False
129,358,25,50,6.364000000000122,False
130,352,25,50,6.365000000000122,False
131,346,25,50,6.366000000000122,False
132,340,25,50,6.367000000000123,False
133,335,25,50,6.368000000000123,False
134,328,25,50,6.369000000000123,False
135,323,25,50,6.370000000000124,False
136,317,25,50,6.371000000000124,False
137,311,25,50,6.372000000000124,False
138,305,25,50,6.373000000000125,False
139,299,25,50,6.374000000000125,False
140,293,25,50,6.375000000000125,False
141,287,25,50,6.376000000000126,False
142,282,25,50,6.377000000000126,False
143,275,25,50,6.378000000000126,False
144,269,25,50,6.379000000000127,False
145,263,25,50,6.380000000000127,False
146,257,25,50,6.381000000000127,False
147,251,25,50,6.382000000000128,False
148,245,25,50,6.383000000000128,False
149,239,25,50,6.384000000000128,False
150,233,25,50,6.385000000000129,False
151,227,25,50,6.386000000000129,False
152,221,25,50,6.387000000000129,False
153,215,25,50,6.38800000000013,False
154,209,25,50,6.38900000000013,False
155,203,25,50,6.39000000000013,False
156,197,25,50,6.391000000000131,False
157,191,25,50,6.392000000000131,False
158,186,25,50,6.393000000000131,False
159,179,25,50,6.394000000000132,False
160,174,25,50,6.395000000000132,False
161,167,25,50,6.396000000000132,False
162,161,25,50,6.397000000000133,False
163,155,25,50,6.398000000000133,False
164,149,25,50,6.399000000000133,False
165,143,25,50,6.400000000000134,False
166,137,25,50,6.401000000000134,False
167,131,25,50,6.402000000000134,False
168,126,25,50,6.403000000000135,False
169,120,25,50,6.404000000000135,False
170,114,25,50,6.405000000000135,False
171,109,25,50,6.406000000000136,False
172,102,25,50,6.407000000000136,False
173,97,25,50,6.408000000000136,False
174,90,25,50,6.409000000000137,True
175,85,25,50,6.410000000000137,True
176,78,25,50,6.411000000000137,True
177,72,25,50,6.412000000000138,True
178,66,25,50,6.413000000000138,True
179,60,25,50,6.414000000000138,True
180,54,25,50,6.415000000000139,True
181,48,25,50,6.416000000000139,True
182,42,25,50,6.417000000000139,True
183,37,25,50,6.41800000000014,True
184,31,25,50,6.41900000000014,True
185,25,25,50,6.42000000000014,True
186,19,25,50,6.421000000000141,True
187,13,25,50,6.422000000000141,True
188,8,25,50,6.423000000000141,True
189,2,25,50,6.424000000000142,True
190,-4,25,50,6.425000000000142,True
191,-9,25,50,6.426000000000142,True
192,-15,25,50,6.427000000000143,True
193,-22,25,50,6.428000000000143,True
194,-28,25,50,6.429000000000143,True
195,-34,25,50,6.430000000000144,True
196,-40,25,50,6.431000000000144,True
197,-46,25,50,6.432000000000144,True
198,-52,25,50,6.433000000000145,True
199,-58,25,50,6.434000000000145,True
200,-64,25,50,6.435000000000145,True
201,-69,25,50,6.436000000000146,True
202,-75,25,50,6.437000000000146,True
203,-80,25,50,6.438000000000146,True
204,-87,25,50,6.439000000000147,True
205,-93,25,50,6.440000000000147,True
206,545,17,35,6.441000000000147,True
207,539,17,35,6.442000000000148,True
208,532,17,35,6.443000000000148,False
209,526,17,35,6.444000000000148,False
210,520,17,35,6.445000000000149,False
211,514,17,35,6.446000000000149,False
212,508,17,35,6.447000000000149,False
213,502,17,35,6.44800000000015,False
214,496,17,35,6.44900000000015,False
215,489,17,35,6.45000000000015,False
216,484,17,35,6.451000000000151,False
217,478,17,35,6.452000000000151,False
218,472,17,35,6.453000000000151,False
219,466,17,35,6.454000000000152,False
220,460,17,35,6.455000000000152,False
221,454,17,35,6.456000000000152,False
222,448,17,35,6.457000000000153,False
223,443,17,35,6.458000000000153,False
224,436,17,35,6.459000000000153,False
225,431,17,35,6.460000000000154,False
226,425,17,35,6.461000000000154,False
227,419,17,35,6.462000000000154,False
228,414,17,35,6.463000000000155,False
229,407,17,35,6.464000000000155,False
230,402,17,35,6.465000000000155,False
231,396,17,35,6.466000000000156,False
232,389,17,35,6.467000000000156,False
233,383,17,35,6.468000000000156,False
234,377,17,35,6.469000000000157,False
235,371,17,35,6.470000000000157,False
236,365,17,35,6.471000000000157,False
237,359,17,35,6.472000000000158,False
238,353,17,35,6.473000000000158,False
239,347,17,35,6.474000000000158,False
240,340,17,35,6.475000000000159,False
241,335,17,35,6.476000000000159,False
242,328,17,35,6.477000000000159,False
243,322,17,35,6.47800000000016,False
244,316,17,35,6.47900000000016,False
245,310,17,35,6.48000000000016,False
246,305,17,35,6.481000000000161,False
247,299,17,35,6.482000000000161,False
248,292,17,35,6.483000000000161,False
249,286,17,35,6.484000000000162,False
250,280,17,35,6.485000000000162,False
251,274,17,35,6.486000000000162,False
252,268,17,35,6.487000000000163,False
253,263,17,35,6.488000000000163,False
254,257,17,35,6.489000000000163,False
255,251,17,35,6.490000000000164,False
256,245,17,35,6.491000000000164,False
257,239,17,35,6.492000000000164,False
258,233,17,35,6.493000000000165,False
